date,job_id,title,country,job_type,budget,proposals,fit_score,segment,budget_signal,status,hook
2026-08-20,2085880633756915734,Fintech options-strategy-builder,US,fixed,500,4,95,product,mid,NEW,"lead with ranked table; 23 controls -> 6; prototype ready"
2026-08-20,2086885494652456315,Emprise/Conduit enterprise fintech design systems,US,hourly,0,14,85,product,mid-high,NEW,"pain is the system across dense regulated screens"
2026-08-20,2086140156654861298,Senior UI/UX raise a working product,US,fixed,400,12,80,product,mid,NEW,"product works brand locked UI doesn't do it justice"
2026-08-20,2090432135512637238,AI CV/resume builder redesign,LV,hourly,0,14,78,product/rescue,unknown,NEW,"fix the blank-page-to-resume create flow first"
2026-08-20,2089031805454827154,Compliance infrastructure MVP,UK,hourly,0,5,72,product/rescue,unknown,NEW,"trust before pretty; remittance/lending flows"
2026-08-20,2079915661085973137,Complete a Lovable website,US,fixed,10,14,70,rescue,unknown,NEW,"keep what works finish rest; no design-dev gap"
2026-08-20,2089807610715939797,Turn AI concept into production-ready UI,US,fixed,10,12,66,rescue,unknown,NEW,"AI concept to production UI; 48-hire client"
2026-08-20,2081580482876413340,Fix Lovable/Base44 app to production,CA,fixed,20,26,63,rescue,unknown,NEW,"elite client 185 hires; leans dev auth/db/deploy"
2026-08-20,2087928299838219766,Senior Product Designer AI/Marketplace/Fintech,NG,fixed,300,6,60,product,low,NEW,"fintech tag; weak client/budget"
2026-08-20,2087935531609938596,Design Engineer Next.js legal-tech,DE,hourly,0,8,0,disqualified,na,SKIP,"BERLIN/BRANDENBURG ONLY region lock"
2026-08-20,2088143494781412780,Fix vibe-coded SaaS app,US,hourly,0,183,40,rescue,unknown,SKIP,"183 proposals saturated + backend stabilization"
2026-08-20,2087590521618742533,SaaS Agentic AI dashboard,NP,fixed,50,13,40,product,low,SKIP,"budget $50"
2026-08-20,wellfound-3962591,Reclevo UI/UX Engineer Figma+React/Next.js,US,fulltime,0,0,82,product,unknown,NEW,"her seam literally in the title; apply via Wellfound"
